Date,Speed (m/s),Direction (º),Energy (kWh)
01/02/16 12:10 AM,5.64,224,"108,95"
01/02/16 12:20 AM,5.4,227,"103,31"
01/02/16 12:30 AM,5.48,226,"71,46"
01/02/16 12:40 AM,5.41,223,"111,17"
01/02/16 12:50 AM,5.52,222,"102,72"
01/02/16 01:00 AM,5.1,225,"115,48"
01/02/16 01:10 AM,5.59,221,"134,27"
01/02/16 01:20 AM,4.86,225,"106,27"
01/02/16 01:30 AM,5.67,223,"109,56"
01/02/16 01:40 AM,5.41,221,"105,08"
01/02/16 01:50 AM,5.4,217,"80,45"
01/02/16 02:00 AM,4.22,211,"2,07"
01/02/16 02:10 AM,4.82,206,"29,18"
01/02/16 02:20 AM,4.71,212,"10,25"
01/02/16 02:30 AM,5.17,208,"61,24"
01/02/16 02:40 AM,5.37,209,"63,10"
01/02/16 02:50 AM,4.89,217,"86,09"
01/02/16 03:00 AM,4.99,224,"88,23"
01/02/16 03:10 AM,5.33,224,"105,68"
01/02/16 03:20 AM,5.48,226,"93,99"
01/02/16 03:30 AM,5.53,226,"103,81"
01/02/16 03:40 AM,5.39,230,"103,85"
01/02/16 03:50 AM,4.91,233,"50,53"
01/02/16 04:00 AM,5.36,232,"124,72"
01/02/16 04:10 AM,5.14,226,"81,08"
01/02/16 04:20 AM,5.07,227,"24,31"
01/02/16 04:30 AM,5.03,217,"69,85"
01/02/16 04:40 AM,4.88,220,"71,84"
01/02/16 04:50 AM,4.32,220,"86,43"
01/02/16 05:00 AM,4.52,221,"38,12"
01/02/16 05:10 AM,4.43,225,"9,39"
01/02/16 05:20 AM,4.26,218,"0,00"
01/02/16 05:30 AM,4.8,219,"0,04"
01/02/16 05:40 AM,4.6,228,"0,52"
01/02/16 05:50 AM,4.3,228,"0,12"
01/02/16 06:00 AM,3.88,228,"0,00"
01/02/16 06:10 AM,3.84,231,"0,36"
01/02/16 06:20 AM,4.04,230,"1,56"
01/02/16 06:30 AM,4.19,238,"1,64"
01/02/16 06:40 AM,3.91,238,"10,91"
01/02/16 06:50 AM,5,241,"69,46"
01/02/16 07:00 AM,4.94,239,"18,33"
01/02/16 07:10 AM,4.56,238,"0,00"
01/02/16 07:20 AM,3.98,237,"0,00"
01/02/16 07:30 AM,3.62,233,"0,00"
01/02/16 07:40 AM,3.76,238,"0,21"
01/02/16 07:50 AM,4.22,242,"0,19"
01/02/16 08:00 AM,4.48,238,"1,37"
01/02/16 08:10 AM,4.89,239,"19,90"
01/02/16 08:20 AM,4.04,246,"0,07"
01/02/16 08:30 AM,4.59,247,"1,76"
01/02/16 08:40 AM,5.26,267,"23,50"
01/02/16 08:50 AM,4.74,273,"0,01"
01/02/16 09:00 AM,4.48,275,"0,00"
01/02/16 09:10 AM,3.45,267,"0,00"
01/02/16 09:20 AM,3.83,261,"0,01"
01/02/16 09:30 AM,4.01,255,"0,00"
01/02/16 09:40 AM,4.1,263,"1,51"
01/02/16 09:50 AM,2.92,261,"0,00"
01/02/16 10:00 AM,3.79,282,"0,00"
01/02/16 10:10 AM,3.57,269,"0,00"
01/02/16 10:20 AM,3.79,270,"0,00"
01/02/16 10:30 AM,3.84,273,"0,00"
01/02/16 10:40 AM,3.66,256,"0,00"
01/02/16 10:50 AM,3.53,267,"5,14"
