Date,Speed (m/s),Direction (º),Energy (kWh)
01/01/16 12:10 AM,5.46,144,"653,56"
01/01/16 12:20 AM,5.63,147,"843,89"
01/01/16 12:30 AM,7.34,146,"1.213,78"
01/01/16 12:40 AM,6.47,148,"959,40"
01/01/16 12:50 AM,6.88,148,"897,92"
01/01/16 01:00 AM,7.47,147,"1.119,96"
01/01/16 01:10 AM,8.31,142,"1.185,08"
01/01/16 01:20 AM,9.55,142,"1.391,66"
01/01/16 01:30 AM,8.83,143,"1.314,88"
01/01/16 01:40 AM,7.32,144,"1.163,87"
01/01/16 01:50 AM,7.84,148,"1.311,26"
01/01/16 02:00 AM,7.84,147,"1.375,26"
01/01/16 02:10 AM,7.11,146,"1.102,62"
01/01/16 02:20 AM,7.21,144,"1.123,63"
01/01/16 02:30 AM,7.06,147,"1.197,76"
01/01/16 02:40 AM,6.82,146,"1.332,35"
01/01/16 02:50 AM,7.67,145,"1.425,20"
01/01/16 03:00 AM,8.2,145,"1.478,94"
01/01/16 03:10 AM,8.43,145,"1.571,40"
01/01/16 03:20 AM,10.4,142,"1.776,65"
01/01/16 03:30 AM,12.17,136,"1.596,30"
01/01/16 03:40 AM,11.87,136,"1.519,79"
01/01/16 03:50 AM,11.84,138,"1.591,57"
01/01/16 04:00 AM,11.22,139,"1.674,77"
01/01/16 04:10 AM,11.21,140,"1.825,82"
01/01/16 04:20 AM,12.57,135,"1.765,41"
01/01/16 04:30 AM,11.5,137,"1.668,50"
01/01/16 04:40 AM,11.47,135,"1.675,58"
01/01/16 04:50 AM,11.02,134,"1.382,55"
01/01/16 05:00 AM,9.55,136,"1.453,71"
01/01/16 05:10 AM,11.33,136,"1.724,63"
01/01/16 05:20 AM,11.28,135,"1.684,70"
01/01/16 05:30 AM,9.76,141,"1.379,01"
01/01/16 05:40 AM,8.68,146,"1.425,00"
01/01/16 05:50 AM,7.48,148,"1.121,60"
01/01/16 06:00 AM,9.05,146,"1.285,02"
01/01/16 06:10 AM,8.94,156,"1.223,70"
01/01/16 06:20 AM,9.25,157,"1.435,54"
01/01/16 06:30 AM,9.36,152,"1.629,71"
01/01/16 06:40 AM,9.55,148,"1.637,75"
01/01/16 06:50 AM,10.56,142,"1.868,79"
01/01/16 07:00 AM,11.66,145,"2.091,07"
01/01/16 07:10 AM,12.92,144,"2.190,86"
01/01/16 07:20 AM,12.54,145,"2.274,86"
01/01/16 07:30 AM,11.31,149,"2.100,75"
01/01/16 07:40 AM,11.98,147,"2.203,00"
01/01/16 07:50 AM,14.6,140,"2.289,07"
01/01/16 08:00 AM,12.74,142,"1.997,94"
01/01/16 08:10 AM,12.95,148,"1.949,77"
01/01/16 08:20 AM,15.4,149,"1.789,10"
01/01/16 08:30 AM,13.91,145,"1.718,02"
01/01/16 08:40 AM,15.16,139,"1.923,69"
01/01/16 08:50 AM,14.54,144,"1.680,71"
01/01/16 09:00 AM,14.15,143,"1.870,22"
01/01/16 09:10 AM,12.5,147,"1.717,06"
01/01/16 09:20 AM,10.98,151,"1.543,29"
01/01/16 09:30 AM,10.84,153,"1.597,07"
01/01/16 09:40 AM,10.86,151,"1.493,80"
01/01/16 09:50 AM,9.91,148,"1.371,62"
01/01/16 10:00 AM,9.93,149,"1.766,84"
01/01/16 10:10 AM,9.73,154,"1.752,47"
01/01/16 10:20 AM,10.34,160,"1.814,50"
01/01/16 10:30 AM,11.11,164,"1.893,37"
01/01/16 10:40 AM,11.8,164,"1.994,74"
01/01/16 10:50 AM,12.05,168,"1.974,64"
01/01/16 11:00 AM,13.55,178,"1.750,18"
01/01/16 11:10 AM,10.77,178,"1.117,90"
01/01/16 11:20 AM,13.33,191,"1.793,96"
01/01/16 11:30 AM,15.69,190,"1.912,51"
01/01/16 11:40 AM,13.46,177,"1.904,73"
01/01/16 11:50 AM,12.66,190,"1.424,14"
01/01/16 12:00 PM,13.45,195,"1.668,44"
01/01/16 12:10 PM,14.93,189,"1.839,17"
01/01/16 12:20 PM,14.67,193,"1.932,78"
01/01/16 12:30 PM,15.83,208,"2.407,87"
01/01/16 12:40 PM,15.56,212,"2.508,72"
01/01/16 12:50 PM,15.64,218,"2.456,26"
01/01/16 01:00 PM,15.18,219,"2.360,60"
01/01/16 01:10 PM,17.87,230,"2.430,53"
01/01/16 01:20 PM,18.63,230,"2.562,92"
01/01/16 01:30 PM,17.02,228,"2.474,61"
01/01/16 01:40 PM,17.84,230,"2.520,42"
01/01/16 01:50 PM,16.1,229,"2.481,39"
01/01/16 02:00 PM,16.86,223,"2.387,10"
01/01/16 02:10 PM,15.24,219,"2.343,18"
01/01/16 02:20 PM,18.96,225,"2.378,24"
01/01/16 02:30 PM,17.18,227,"2.289,63"
01/01/16 02:40 PM,16.29,225,"2.142,09"
01/01/16 02:50 PM,17.8,230,"2.236,35"
01/01/16 03:00 PM,16.86,238,"2.445,83"
01/01/16 03:10 PM,16.72,232,"2.576,64"
01/01/16 03:20 PM,15.81,230,"2.515,17"
01/01/16 03:30 PM,15.92,231,"2.506,34"
01/01/16 03:40 PM,16.92,227,"2.440,72"
01/01/16 03:50 PM,16.11,230,"2.515,67"
01/01/16 04:00 PM,16.41,228,"2.526,13"
01/01/16 04:10 PM,18.38,228,"2.559,99"
01/01/16 04:20 PM,17.85,230,"2.547,84"
01/01/16 04:30 PM,17.01,231,"2.552,91"
01/01/16 04:40 PM,16.91,231,"2.505,94"
01/01/16 04:50 PM,17.11,231,"2.434,11"
01/01/16 05:00 PM,16.69,229,"2.411,47"
01/01/16 05:10 PM,17.04,232,"2.412,01"
01/01/16 05:20 PM,16.76,233,"2.313,77"
01/01/16 05:30 PM,15.14,237,"2.378,49"
01/01/16 05:40 PM,15.29,234,"2.423,37"
01/01/16 05:50 PM,15.76,236,"2.457,34"
01/01/16 06:00 PM,16.37,236,"2.489,00"
01/01/16 06:10 PM,15.13,238,"2.528,80"
01/01/16 06:20 PM,15.4,237,"2.468,15"
01/01/16 06:30 PM,14.75,237,"2.435,84"
01/01/16 06:40 PM,14.12,235,"2.362,69"
01/01/16 06:50 PM,15.28,235,"2.473,47"
01/01/16 07:00 PM,15,232,"2.277,48"
01/01/16 07:10 PM,14.85,232,"2.242,96"
01/01/16 07:20 PM,14.19,231,"2.078,21"
01/01/16 07:30 PM,13.4,228,"1.943,87"
01/01/16 07:40 PM,15.19,228,"2.128,11"
01/01/16 07:50 PM,15.81,234,"2.312,99"
01/01/16 08:00 PM,14.46,235,"2.124,36"
01/01/16 08:10 PM,14.66,234,"2.176,77"
01/01/16 08:20 PM,14.7,239,"2.158,79"
01/01/16 08:30 PM,14.11,232,"2.141,40"
01/01/16 08:40 PM,13.67,232,"2.086,02"
01/01/16 08:50 PM,14.6,244,"2.247,90"
01/01/16 09:00 PM,13.15,247,"1.977,03"
01/01/16 09:10 PM,11.54,235,"1.850,80"
01/01/16 09:20 PM,12.62,234,"2.030,45"
01/01/16 09:30 PM,12.74,238,"2.167,66"
01/01/16 09:40 PM,14.44,238,"2.254,74"
01/01/16 09:50 PM,12.59,235,"2.180,50"
01/01/16 10:00 PM,13.94,235,"2.305,66"
01/01/16 10:10 PM,14.58,233,"2.345,00"
01/01/16 10:20 PM,14.91,236,"2.323,13"
01/01/16 10:30 PM,14.53,236,"2.289,09"
01/01/16 10:40 PM,13.95,234,"2.172,86"
01/01/16 10:50 PM,14.55,230,"2.219,84"
01/01/16 11:00 PM,15.98,234,"2.521,47"
01/01/16 11:10 PM,14.4,239,"2.452,35"
01/01/16 11:20 PM,13.11,238,"2.222,20"
01/01/16 11:30 PM,13.73,234,"2.203,52"
01/01/16 11:40 PM,12.8,235,"2.141,93"
01/01/16 11:50 PM,13.84,229,"2.125,57"
02/01/16 12:00 AM,14.27,229,"2.291,54"
02/01/16 12:10 AM,15.24,231,"2.061,30"
02/01/16 12:20 AM,15.47,232,"2.075,61"
02/01/16 12:30 AM,15.87,231,"2.111,76"
02/01/16 12:40 AM,14.45,234,"2.143,72"
02/01/16 12:50 AM,13.79,237,"2.032,14"
02/01/16 01:00 AM,13.49,237,"2.019,25"
02/01/16 01:10 AM,13.99,235,"2.111,75"
02/01/16 01:20 AM,13.97,236,"2.077,64"
02/01/16 01:30 AM,13.38,240,"2.014,70"
02/01/16 01:40 AM,14.56,242,"2.005,37"
