Date,Speed (m/s),Direction (º),Energy (kWh)
09/01/16 12:10 AM,4.86,49,"320,18"
09/01/16 12:20 AM,5,50,"436,24"
09/01/16 12:30 AM,7.68,68,"559,87"
09/01/16 12:40 AM,7.33,75,"282,18"
09/01/16 12:50 AM,4.91,76,"114,54"
09/01/16 01:00 AM,6.44,78,"224,91"
09/01/16 01:10 AM,9.37,71,"681,93"
09/01/16 01:20 AM,10.8,68,"1.126,07"
09/01/16 01:30 AM,10.38,76,"1.196,38"
09/01/16 01:40 AM,9.7,72,"989,92"
09/01/16 01:50 AM,6.51,66,"613,98"
09/01/16 02:00 AM,6.78,82,"230,33"
09/01/16 02:10 AM,6.17,75,"131,00"
09/01/16 02:20 AM,5.95,71,"159,85"
09/01/16 02:30 AM,5.75,67,"251,52"
09/01/16 02:40 AM,7.56,71,"360,81"
09/01/16 02:50 AM,7.06,82,"135,22"
09/01/16 03:00 AM,6.18,83,"49,44"
09/01/16 03:10 AM,5.19,74,"77,11"
09/01/16 03:20 AM,6.51,70,"286,99"
09/01/16 03:30 AM,7.85,74,"212,57"
09/01/16 03:40 AM,5.61,71,"77,34"
09/01/16 03:50 AM,4.18,60,"94,32"
09/01/16 04:00 AM,5.79,67,"222,79"
09/01/16 04:10 AM,7.35,84,"188,12"
09/01/16 04:20 AM,7.16,84,"173,74"
09/01/16 04:30 AM,7.51,85,"251,46"
09/01/16 04:40 AM,10.48,79,"809,09"
09/01/16 04:50 AM,11.35,88,"999,48"
09/01/16 05:00 AM,10.69,85,"963,25"
09/01/16 05:10 AM,9.64,85,"734,59"
09/01/16 05:20 AM,7.45,97,"340,59"
09/01/16 05:30 AM,7.92,96,"243,25"
09/01/16 05:40 AM,7.87,92,"452,32"
09/01/16 05:50 AM,8.74,84,"520,04"
09/01/16 06:00 AM,8.79,84,"549,11"
09/01/16 06:10 AM,8.42,84,"396,02"
09/01/16 06:20 AM,7.35,85,"232,04"
09/01/16 06:30 AM,7.79,84,"293,77"
09/01/16 06:40 AM,8.2,82,"339,25"
09/01/16 06:50 AM,8.82,80,"322,51"
09/01/16 07:00 AM,8.72,82,"419,19"
09/01/16 07:10 AM,8.57,87,"501,56"
09/01/16 07:20 AM,9.18,92,"636,54"
09/01/16 07:30 AM,8.84,96,"566,03"
09/01/16 07:40 AM,8.51,91,"332,22"
09/01/16 07:50 AM,7.69,84,"164,83"
09/01/16 08:00 AM,6.56,76,"98,90"
09/01/16 08:10 AM,6.26,75,"71,06"
09/01/16 08:20 AM,6.06,80,"52,52"
09/01/16 08:30 AM,6.2,81,"110,45"
09/01/16 08:40 AM,6.33,80,"142,73"
09/01/16 08:50 AM,6.39,84,"154,79"
09/01/16 09:00 AM,6.7,86,"165,80"
09/01/16 09:10 AM,6.22,85,"165,79"
09/01/16 09:20 AM,6.67,87,"138,53"
09/01/16 09:30 AM,6.89,91,"158,58"
